2015-11-12 11:38:16 INFO This is an INFO message.
2015-11-12 11:38:16 ERROR This is an ERROR message.
2015-11-12 11:38:43 AM INFO This is an INFO message.
2015-11-12 11:38:43 AM ERROR This is an ERROR message.
2015-11-12 17:38:59 PM INFO This is an INFO message.
2015-11-12 17:38:59 PM ERROR This is an ERROR message.
2015-11-12 05:39:23 PM INFO This is an INFO message.
2015-11-12 05:39:23 PM ERROR This is an ERROR message.
2015-11-12 11:47:05 AM INFO This is an INFO message.
2015-11-12 11:47:05 AM ERROR This is an ERROR message.
2015-11-12 12:00:10 PM INFO This is an INFO message.
2015-11-12 12:00:10 PM ERROR This is an ERROR message.
2015-11-12 12:00:10 PM WARNING This is a WARNING message.
2015-11-12 12:00:10 PM CRITICAL This is a CRITICAL message.
2015-11-12 12:00:22 PM INFO This is an INFO message.
2015-11-12 12:00:22 PM ERROR This is an ERROR message.
2015-11-12 12:00:22 PM WARNING This is a WARNING message.
2015-11-12 12:00:22 PM CRITICAL This is a CRITICAL message.
2015-11-12 12:00:33 PM INFO This is an INFO message.
2015-11-12 12:00:33 PM ERROR This is an ERROR message.
2015-11-12 12:00:33 PM WARNING This is a WARNING message.
2015-11-12 12:00:33 PM CRITICAL This is a CRITICAL message.
